n/blockwidth,2,4,8,16,32,64,128,256,512,1024
4.000000e+07,1.000000e+00,1.735305e+00,1.724666e+00,1.662655e+00,1.773719e+00,1.315696e+00,1.682731e+00,1.665105e+00,1.820971e+00,1.770580e+00
8.000000e+07,1.000000e+00,1.270519e+00,1.546023e+00,1.345604e+00,1.643588e+00,1.343542e+00,1.654320e+00,1.490480e+00,1.638051e+00,1.609449e+00
1.600000e+08,1.000000e+00,1.316663e+00,2.051135e+00,2.445475e+00,2.534018e+00,2.662483e+00,2.805839e+00,2.614371e+00,2.570280e+00,2.883890e+00
3.200000e+08,1.000000e+00,1.797226e+00,3.404828e+00,4.972777e+00,6.433131e+00,6.043586e+00,6.414624e+00,6.534798e+00,7.243430e+00,5.815239e+00
6.400000e+08,1.000000e+00,1.835001e+00,3.544122e+00,6.501605e+00,1.159518e+01,1.400801e+01,1.421698e+01,1.363883e+01,1.243586e+01,1.346528e+01
1.280000e+09,1.000000e+00,1.884356e+00,4.003515e+00,7.024483e+00,1.355671e+01,1.834792e+01,1.814320e+01,1.780306e+01,1.996951e+01,1.923437e+01
2.560000e+09,1.000000e+00,1.931234e+00,3.940134e+00,8.090089e+00,1.554179e+01,2.176093e+01,2.212425e+01,2.215892e+01,2.256579e+01,2.265807e+01
5.120000e+09,1.000000e+00,1.925837e+00,4.053171e+00,8.080942e+00,1.585609e+01,2.361754e+01,2.353822e+01,2.241979e+01,2.365393e+01,2.233393e+01
1.024000e+10,1.000000e+00,2.012419e+00,3.978954e+00,8.109186e+00,1.639036e+01,2.411897e+01,2.329105e+01,2.313168e+01,2.336161e+01,2.299008e+01
